2026-05-30 23:45:55.991 | INFO     | services.schedule_service:register_jobs:69 - [Scheduler] 已注册任务: 中国政府采购网-地方公告-fetch_list ScheduleService._wrap (trigger: interval[0:00:30], pending)
2026-05-30 23:45:55.992 | INFO     | services.schedule_service:register_jobs:69 - [Scheduler] 已注册任务: 中国政府采购网-中央公告-fetch_list ScheduleService._wrap (trigger: interval[0:00:30], pending)
2026-05-30 23:45:55.992 | INFO     | services.schedule_service:register_jobs:69 - [Scheduler] 已注册任务: 中国政府采购网-中央公告-fetch_html ScheduleService._wrap (trigger: interval[0:00:30], pending)
2026-05-30 23:45:55.992 | INFO     | services.schedule_service:register_jobs:69 - [Scheduler] 已注册任务: 中国政府采购网-地方公告-fetch_html ScheduleService._wrap (trigger: interval[0:00:30], pending)
2026-05-30 23:45:55.994 | INFO     | services.schedule_service:start:122 - [Scheduler] 调度器已启动
2026-05-30 23:46:26.084 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_list:20 开始执行
2026-05-30 23:46:26.271 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:21 开始执行
2026-05-30 23:46:26.294 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:22 开始执行
2026-05-30 23:46:26.320 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_list:23 开始执行
2026-05-30 23:46:33.988 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/中央公告
2026-05-30 23:46:35.087 | INFO     | services.crawler_service:run:28 - >>> 执行爬取列表: target=中国政府采购网/地方公告
2026-05-30 23:46:35.092 | INFO     | services.crawler_service:run:28 - >>> 执行爬取列表: target=中国政府采购网/中央公告
2026-05-30 23:46:35.105 | INFO     | services.crawler_service:run:33 - >>> 执行爬取详情页HTML: target=中国政府采购网/地方公告
2026-05-30 23:46:35.215 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:46:35.215 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:46:35.224 | INFO     | crawlers.ccgp_crawler:fetch_html:170 - [fetch_html] 没有待获取 HTML 的记录
2026-05-30 23:46:35.225 | INFO     | services.crawler_service:run:35 - [爬取结果] {'total': 0, 'success': 0, 'failed': 0}
2026-05-30 23:46:35.306 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_html:21 执行成功
2026-05-30 23:46:35.313 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:22 执行成功
2026-05-30 23:46:35.552 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第1页 获取 20 条，累计 20 条
2026-05-30 23:46:35.658 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第1页 获取 20 条，累计 0 条
2026-05-30 23:46:35.659 | INFO     | services.crawler_service:run:30 - [爬取结果] {'created': 0}
2026-05-30 23:46:35.756 | INFO     | services.schedule_service:_wrap:44 - [Scheduler] 任务 中国政府采购网-中央公告-fetch_list:23 执行成功
2026-05-30 23:46:36.762 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第2页 获取 20 条，累计 40 条
2026-05-30 23:46:37.971 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第3页 获取 20 条，累计 60 条
2026-05-30 23:46:39.190 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第4页 获取 20 条，累计 80 条
2026-05-30 23:46:40.395 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第5页 获取 20 条，累计 100 条
2026-05-30 23:46:41.623 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第6页 获取 20 条，累计 120 条
2026-05-30 23:46:42.742 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第7页 获取 20 条，累计 140 条
2026-05-30 23:46:43.950 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第8页 获取 20 条，累计 160 条
2026-05-30 23:46:45.182 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第9页 获取 20 条，累计 180 条
2026-05-30 23:46:46.393 | INFO     | crawlers.ccgp_crawler:fetch_list:144 - [fetch_list] 第10页 获取 20 条，累计 200 条
2026-05-30 23:46:47.398 | INFO     | crawlers.ccgp_crawler:fetch_list:153 - [fetch_list] 排除非招标公告 140 条，保留 60 条
2026-05-30 23:46:56.080 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_list:24 开始执行
2026-05-30 23:46:56.082 | INFO     | services.schedule_service:_wrap:30 - [Scheduler] 任务 中国政府采购网-地方公告-fetch_html:25 开始执行
